Task_ID,Project_Name,Assigned_Staff_ID,Staff_Workload_FTE_Days,Task_Duration_Hours,Timezone_Constraint_Score,Project_Risk_Score,External_Dependency_Flag,Planned_Start_Date,Actual_Duration_Hours,Task_Status,Predecessor_Task_ID
T0262,AI Ethics Framework,STAFF_15,1.47,13,1,5,0,2026-02-05,10.0,In Progress,T0233
T0263,AI Ethics Framework,STAFF_02,0.75,17,1,2,0,2026-02-13,45.0,In Progress,T0334
T0264,AI Ethics Framework,STAFF_11,4.29,78,1,2,0,2026-02-12,49.0,Completed,T1115
T0265,EU AI Act Compliance,STAFF_04,0.91,37,1,1,0,2026-02-22,42.300000000000004,In Progress,T0911
T0266,New Hire Recruitment,STAFF_19,4.29,28,1,1,0,2026-02-05,57.0,In Progress,T0332
T0267,AI Ethics Framework,STAFF_17,2.5,67,1,4,0,2025-11-02,42.0,Completed,None
T0268,New Hire Recruitment,STAFF_03,2.09,70,3,4,0,2026-03-25,27.900000000000002,Completed,T0449
T0269,EU AI Act Compliance,STAFF_18,4.53,49,1,5,0,2026-01-23,24.0,Blocked,T0685
T0270,New Hire Recruitment,STAFF_08,3.06,58,3,1,0,2026-01-27,47.0,Blocked,T0329
T0271,AI Ethics Framework,STAFF_19,2.93,71,1,1,0,2025-10-22,73.0,Completed,T0631
T0272,New Hire Recruitment,STAFF_05,2.84,63,1,4,0,2026-03-07,51.0,Completed,T0799
T0273,Annual Retreat Planning,STAFF_07,1.92,48,1,4,0,2025-11-07,30.0,Blocked,T0480
T0274,AI Ethics Framework,STAFF_08,3.95,39,1,4,0,2026-01-17,13.0,In Progress,T1250
T0275,AI Ethics Framework,STAFF_05,1.34,22,5,2,0,2025-11-20,73.0,Completed,T0641
T0276,New Hire Recruitment,STAFF_17,4.7,69,3,3,0,2025-10-08,28.0,In Progress,T1186
T0277,New Hire Recruitment,STAFF_05,4.48,34,5,3,0,2025-10-27,42.0,Completed,T0337
T0278,AI Ethics Framework,STAFF_04,1.75,35,5,1,1,2025-10-27,36.0,In Progress,T0613
T0279,Annual Retreat Planning,STAFF_19,3.67,71,3,2,0,2025-10-21,14.0,Completed,T0014
T0280,New Hire Recruitment,STAFF_02,2.91,66,1,4,0,2025-10-30,60.0,Completed,T1233
T0281,New Hire Recruitment,STAFF_11,1.75,65,1,1,1,2026-01-05,44.0,Completed,T1018
T0282,New Hire Recruitment,STAFF_13,4.94,9,5,2,0,2025-10-28,30.0,To Do,None
T0283,Annual Retreat Planning,STAFF_15,0.22,43,3,5,0,2026-01-19,15.0,In Progress,T0741
T0284,EU AI Act Compliance,STAFF_12,1.34,78,1,2,0,2025-11-30,49.5,In Progress,T1300
T0285,EU AI Act Compliance,STAFF_11,2.65,20,3,1,0,2025-11-17,17.0,In Progress,T1053
T0286,EU AI Act Compliance,STAFF_07,2.66,22,1,3,0,2026-02-24,31.0,Completed,T0006
T0287,Annual Retreat Planning,STAFF_05,2.99,67,1,4,1,2025-10-04,54.0,To Do,T0413
T0288,Annual Retreat Planning,STAFF_17,3.78,29,1,5,0,2025-11-04,60.0,Completed,T0803
T0289,AI Ethics Framework,STAFF_09,3.16,70,3,2,0,2025-11-18,46.0,Blocked,T1006
T0290,New Hire Recruitment,STAFF_14,3.04,32,3,1,0,2025-10-17,74.0,Completed,T0107
T0291,Annual Retreat Planning,STAFF_12,0.36,55,1,1,0,2026-03-21,73.0,Completed,T1146
T0292,Comms Strategy 2026,STAFF_06,1.94,50,1,4,0,2026-03-07,13.0,In Progress,T0884
T0293,EU AI Act Compliance,STAFF_17,1.24,45,1,1,1,2025-11-15,28.0,In Progress,T0855
T0294,EU AI Act Compliance,STAFF_19,1.4,48,3,1,1,2026-01-25,43.0,Blocked,T0475
T0295,AI Ethics Framework,STAFF_19,2.82,52,1,4,0,2025-10-06,10.0,In Progress,T0967
T0296,AI Ethics Framework,STAFF_16,1.08,47,1,5,1,2026-01-07,49.0,Completed,T0045
T0297,AI Ethics Framework,STAFF_12,1.54,24,1,3,0,2026-02-01,52.0,To Do,T0106
T0298,AI Ethics Framework,STAFF_12,1.26,64,1,3,0,2025-11-06,51.0,Completed,T1193
T0299,EU AI Act Compliance,STAFF_06,4.75,9,1,2,0,2025-10-24,40.0,Blocked,T0524
T0300,EU AI Act Compliance,STAFF_04,4.73,69,3,5,0,2026-01-01,67.0,In Progress,T0564
T0301,AI Ethics Framework,STAFF_06,3.09,16,1,2,0,2025-11-15,77.0,Completed,T0339
T0302,Annual Retreat Planning,STAFF_11,4.63,75,3,3,0,2026-01-03,33.0,Completed,T0725
T0303,AI Ethics Framework,STAFF_01,3.95,24,1,4,0,2026-01-07,28.0,Completed,T0085
T0304,New Hire Recruitment,STAFF_15,2.99,57,1,1,0,2026-01-24,9.0,Completed,T0489
T0305,New Hire Recruitment,STAFF_11,0.13,47,1,3,0,2026-03-09,54.0,Completed,T0857
T0306,AI Ethics Framework,STAFF_19,3.89,65,3,5,1,2026-03-10,37.0,Completed,T0757
T0307,EU AI Act Compliance,STAFF_18,3.54,28,5,3,0,2025-12-06,30.6,Completed,None
T0308,AI Ethics Framework,STAFF_17,3.11,25,5,5,0,2026-02-05,70.2,In Progress,T0632
T0309,Comms Strategy 2026,STAFF_19,3.83,62,1,5,0,2025-10-18,27.0,Blocked,T0629
T0310,Comms Strategy 2026,STAFF_14,2.61,36,1,5,0,2025-10-25,57.0,Completed,T0819
T0311,AI Ethics Framework,STAFF_18,3.55,31,3,2,0,2025-11-23,30.0,Completed,T0310
T0312,Comms Strategy 2026,STAFF_19,4.68,24,3,4,0,2025-11-27,20.0,Completed,None
T0313,AI Ethics Framework,STAFF_15,1.94,25,1,3,0,2025-12-06,11.0,In Progress,T0930
T0314,AI Ethics Framework,STAFF_15,3.57,49,3,4,0,2026-01-12,18.900000000000002,Blocked,T0313
T0315,Comms Strategy 2026,STAFF_04,2.43,52,1,1,0,2026-03-23,27.0,In Progress,T1290
T0316,EU AI Act Compliance,STAFF_07,3.4,24,1,3,0,2025-10-24,20.0,Blocked,T0056
T0317,Comms Strategy 2026,STAFF_13,3.84,21,1,4,0,2026-01-22,10.0,In Progress,None
T0318,EU AI Act Compliance,STAFF_03,0.32,56,1,4,0,2025-11-01,54.0,In Progress,None
T0319,New Hire Recruitment,STAFF_16,3.27,36,1,1,0,2026-03-24,10.0,Completed,T0942
T0320,AI Ethics Framework,STAFF_09,1.21,11,1,5,0,2025-12-25,8.0,Blocked,T0181
T0321,EU AI Act Compliance,STAFF_08,3.38,27,1,3,0,2026-02-28,31.0,To Do,T0350
T0322,Comms Strategy 2026,STAFF_13,2.39,54,1,3,1,2026-02-04,42.0,In Progress,T0455
T0323,EU AI Act Compliance,STAFF_17,3.89,16,1,1,0,2026-03-04,21.0,Blocked,T0392
T0324,New Hire Recruitment,STAFF_17,0.7,34,3,5,0,2026-02-07,74.0,Completed,T0809
T0325,Annual Retreat Planning,STAFF_17,3.17,22,1,3,0,2025-10-17,20.0,To Do,None
T0326,Comms Strategy 2026,STAFF_01,1.46,26,1,3,0,2026-01-12,54.0,Completed,T0722
T0327,Annual Retreat Planning,STAFF_08,4.28,59,1,3,0,2026-03-10,57.0,Completed,T1076
T0328,New Hire Recruitment,STAFF_19,4.65,33,5,5,1,2026-02-14,33.0,Completed,T1119
T0329,New Hire Recruitment,STAFF_06,4.98,33,1,1,1,2025-11-12,10.0,To Do,None
T0330,Annual Retreat Planning,STAFF_03,4.0,33,1,3,0,2026-03-25,58.0,Blocked,T0055
T0331,Annual Retreat Planning,STAFF_05,3.79,53,1,4,0,2025-11-08,47.0,To Do,T0658
T0332,AI Ethics Framework,STAFF_13,1.16,56,3,5,0,2026-03-19,75.0,Blocked,T1276
T0333,AI Ethics Framework,STAFF_15,1.75,60,1,2,0,2025-10-26,43.0,Completed,None
T0334,Comms Strategy 2026,STAFF_14,2.38,10,1,1,0,2026-01-07,52.2,To Do,None
T0335,AI Ethics Framework,STAFF_16,3.89,73,1,4,0,2025-11-19,8.0,To Do,T1143
T0336,EU AI Act Compliance,STAFF_18,4.58,49,1,3,0,2026-03-02,40.0,In Progress,T0399
T0337,AI Ethics Framework,STAFF_11,1.03,26,3,2,0,2026-03-01,14.0,Completed,T0822
T0338,EU AI Act Compliance,STAFF_03,4.62,24,3,1,0,2025-10-13,59.0,In Progress,T0053
T0339,Annual Retreat Planning,STAFF_10,3.51,40,3,5,0,2025-11-29,18.0,To Do,T1052
T0340,New Hire Recruitment,STAFF_10,3.09,56,3,2,0,2026-02-12,34.0,Blocked,T0901
T0341,AI Ethics Framework,STAFF_16,1.08,63,1,2,0,2025-11-26,21.0,Blocked,T1084
T0342,EU AI Act Compliance,STAFF_12,0.37,70,1,4,1,2025-11-05,53.0,To Do,None
T0343,New Hire Recruitment,STAFF_02,2.89,10,3,1,0,2026-03-22,20.4,Blocked,T1117
T0344,AI Ethics Framework,STAFF_09,3.29,56,1,4,0,2025-10-20,31.0,In Progress,T0521
T0345,New Hire Recruitment,STAFF_03,1.13,62,3,4,0,2025-12-04,68.0,In Progress,T0323
T0346,EU AI Act Compliance,STAFF_15,2.83,33,1,3,0,2025-10-08,25.0,Completed,None
T0347,EU AI Act Compliance,STAFF_03,4.3,79,1,5,0,2026-02-21,16.0,In Progress,T0316
T0348,New Hire Recruitment,STAFF_19,4.19,59,3,2,0,2026-02-19,24.0,In Progress,T0263
T0349,AI Ethics Framework,STAFF_18,4.64,14,3,1,1,2026-01-23,65.0,Blocked,T0336
T0350,Comms Strategy 2026,STAFF_08,1.89,53,3,5,0,2026-02-20,20.0,Completed,T0827
T0351,New Hire Recruitment,STAFF_17,1.66,53,1,5,0,2025-12-31,57.0,Completed,T0202
T0352,AI Ethics Framework,STAFF_08,3.77,23,3,1,0,2026-01-06,13.0,Completed,None
T0353,Comms Strategy 2026,STAFF_07,2.21,31,1,5,1,2025-12-05,58.0,In Progress,None
T0354,New Hire Recruitment,STAFF_07,0.53,68,1,3,0,2025-11-01,43.0,In Progress,None
T0355,AI Ethics Framework,STAFF_03,1.49,61,5,5,1,2025-12-25,78.0,Completed,T0064
T0356,New Hire Recruitment,STAFF_01,2.15,69,3,3,1,2025-11-20,28.8,Completed,None
T0357,Comms Strategy 2026,STAFF_04,1.53,8,1,2,0,2026-03-02,18.0,Completed,None
T0358,Comms Strategy 2026,STAFF_05,1.73,56,3,2,0,2025-12-02,51.0,Completed,None
T0359,Comms Strategy 2026,STAFF_01,1.54,32,1,4,1,2026-02-02,21.0,Completed,T1091
T0360,AI Ethics Framework,STAFF_15,0.3,17,1,3,0,2026-02-27,36.0,Completed,T1140
T0361,New Hire Recruitment,STAFF_05,3.22,23,1,2,0,2025-11-27,57.0,Completed,T0199
T0362,New Hire Recruitment,STAFF_13,3.03,65,5,5,0,2025-11-27,14.399999999999999,Completed,None
T0363,Comms Strategy 2026,STAFF_08,3.3,79,1,1,0,2025-12-25,79.0,Completed,T0097
T0364,Annual Retreat Planning,STAFF_08,1.04,36,3,1,0,2025-11-18,76.0,Blocked,T0517
T0365,Comms Strategy 2026,STAFF_05,1.55,13,1,3,0,2026-03-29,64.0,Completed,None
T0366,EU AI Act Compliance,STAFF_09,3.14,23,3,4,0,2026-03-19,33.0,Completed,T0687
T0367,Comms Strategy 2026,STAFF_01,3.04,27,1,5,0,2025-12-09,13.0,Completed,T0214
T0368,Comms Strategy 2026,STAFF_04,2.58,78,3,3,0,2025-10-15,23.0,Completed,None
T0369,Comms Strategy 2026,STAFF_03,1.82,50,1,1,1,2025-11-23,67.0,Completed,None
T0370,Annual Retreat Planning,STAFF_02,4.57,33,3,3,0,2026-01-09,17.1,Completed,T0304
T0371,EU AI Act Compliance,STAFF_08,1.76,78,5,5,0,2025-10-08,10.0,In Progress,None
T0372,AI Ethics Framework,STAFF_09,2.33,40,3,2,0,2025-11-22,70.0,In Progress,T0635
T0373,AI Ethics Framework,STAFF_02,3.42,33,1,5,0,2025-11-29,71.0,In Progress,T0620
T0374,EU AI Act Compliance,STAFF_14,2.76,52,5,2,1,2026-01-16,69.0,In Progress,T0427
T0375,Annual Retreat Planning,STAFF_14,1.8,70,1,2,0,2025-10-05,13.0,Completed,T0073
T0376,Comms Strategy 2026,STAFF_04,2.23,74,3,2,0,2026-01-11,26.0,To Do,T0436
T0377,Comms Strategy 2026,STAFF_06,3.99,59,3,3,1,2025-10-06,25.0,Completed,T0088
T0378,EU AI Act Compliance,STAFF_11,1.46,75,1,1,1,2026-01-17,45.0,In Progress,None
T0379,Comms Strategy 2026,STAFF_03,0.8,33,1,3,0,2026-01-24,12.0,Completed,T1076
T0380,EU AI Act Compliance,STAFF_08,1.63,9,1,1,0,2026-01-02,94.8,Blocked,None
T0381,EU AI Act Compliance,STAFF_03,4.26,21,1,5,0,2025-11-16,45.0,In Progress,T1166
T0382,Annual Retreat Planning,STAFF_14,0.54,37,3,4,0,2026-01-07,75.0,Completed,T0214
T0383,New Hire Recruitment,STAFF_13,4.96,56,1,5,0,2025-11-24,61.199999999999996,In Progress,None
T0384,EU AI Act Compliance,STAFF_13,2.75,19,1,3,0,2026-03-17,63.0,Completed,None
T0385,AI Ethics Framework,STAFF_02,4.93,51,1,3,0,2025-11-21,49.0,In Progress,T0566
T0386,AI Ethics Framework,STAFF_13,4.7,40,1,1,0,2026-02-21,71.0,In Progress,T0182
T0387,AI Ethics Framework,STAFF_19,2.32,20,1,3,0,2025-10-13,61.0,Completed,T1145
T0388,Comms Strategy 2026,STAFF_06,1.07,33,3,2,1,2026-01-22,78.0,Completed,T1184
T0389,EU AI Act Compliance,STAFF_16,0.91,28,1,3,0,2026-02-01,44.0,Completed,None
T0390,EU AI Act Compliance,STAFF_02,1.28,35,3,1,1,2026-01-14,13.2,In Progress,T0086
T0391,EU AI Act Compliance,STAFF_08,3.58,55,1,1,1,2026-03-07,10.799999999999999,Completed,T0231
T0392,AI Ethics Framework,STAFF_17,1.44,47,1,2,0,2026-02-24,51.0,In Progress,T0973
T0393,EU AI Act Compliance,STAFF_02,1.77,73,3,1,0,2026-02-22,74.0,To Do,T1007
T0394,AI Ethics Framework,STAFF_10,2.3,30,1,4,0,2026-01-28,75.0,Completed,T0055
T0395,EU AI Act Compliance,STAFF_16,4.57,55,1,5,0,2025-12-02,69.0,To Do,T0646
T0396,AI Ethics Framework,STAFF_06,1.03,9,1,3,0,2025-10-19,8.0,In Progress,T0950
T0397,New Hire Recruitment,STAFF_02,0.12,27,1,4,0,2025-12-31,24.0,Completed,T1200
T0398,AI Ethics Framework,STAFF_02,0.39,66,1,3,1,2025-11-27,23.0,Completed,T0514
T0399,New Hire Recruitment,STAFF_13,4.53,53,1,4,0,2025-12-29,19.2,In Progress,T0787
T0400,EU AI Act Compliance,STAFF_15,3.27,10,1,3,0,2026-01-25,60.0,Completed,None
T0401,New Hire Recruitment,STAFF_02,1.44,62,1,2,0,2025-12-01,66.0,Completed,None
T0402,Comms Strategy 2026,STAFF_07,0.97,19,1,1,0,2025-10-23,19.2,Completed,T0375
T0403,Annual Retreat Planning,STAFF_03,1.54,47,1,1,1,2026-02-04,19.0,In Progress,T0412
T0404,Annual Retreat Planning,STAFF_08,0.66,73,1,2,0,2026-02-14,48.0,In Progress,None
T0405,EU AI Act Compliance,STAFF_14,4.71,23,1,4,0,2026-02-17,22.0,In Progress,T0644
T0406,EU AI Act Compliance,STAFF_07,3.94,41,5,5,0,2026-02-06,73.0,Completed,T1168
T0407,EU AI Act Compliance,STAFF_07,2.37,51,1,4,0,2025-11-27,18.0,Blocked,T0995
T0408,Comms Strategy 2026,STAFF_01,4.34,13,3,1,0,2026-01-30,15.0,To Do,T0465
T0409,AI Ethics Framework,STAFF_17,1.32,71,1,5,0,2025-10-01,74.39999999999999,Completed,T1063
T0410,EU AI Act Compliance,STAFF_09,3.61,29,5,3,0,2025-11-03,13.0,Completed,T1066
T0411,Comms Strategy 2026,STAFF_13,4.3,25,1,5,1,2026-01-04,60.0,Blocked,T0963
T0412,Comms Strategy 2026,STAFF_19,1.85,19,5,4,1,2026-02-03,27.0,Blocked,T0162
T0413,Annual Retreat Planning,STAFF_19,3.81,59,3,2,0,2026-01-26,46.0,In Progress,None
T0414,Comms Strategy 2026,STAFF_17,1.55,58,1,3,0,2025-11-17,79.0,To Do,T0651
T0415,New Hire Recruitment,STAFF_10,1.56,78,3,4,0,2025-12-28,41.0,In Progress,T1038
T0416,AI Ethics Framework,STAFF_10,0.62,55,1,3,0,2026-01-25,64.0,Completed,None
T0417,EU AI Act Compliance,STAFF_04,2.26,26,1,5,0,2026-02-06,26.0,In Progress,T0688
T0418,EU AI Act Compliance,STAFF_08,3.68,13,3,1,0,2025-10-16,78.0,In Progress,T1258
T0419,EU AI Act Compliance,STAFF_18,4.71,34,5,4,0,2025-12-08,38.0,To Do,None
T0420,New Hire Recruitment,STAFF_14,3.06,60,1,2,0,2025-10-22,47.0,Completed,T0584
T0421,AI Ethics Framework,STAFF_18,4.33,55,1,5,0,2026-01-01,25.2,In Progress,T0659
T0422,Annual Retreat Planning,STAFF_14,4.13,14,3,4,0,2025-12-15,44.0,In Progress,None
T0423,EU AI Act Compliance,STAFF_15,0.95,66,3,2,0,2026-03-03,51.0,Completed,T0260
T0424,Comms Strategy 2026,STAFF_04,2.48,76,3,4,0,2026-02-21,16.0,Completed,T0047
T0425,Comms Strategy 2026,STAFF_13,0.67,18,3,5,1,2026-03-28,65.0,Blocked,None
T0426,EU AI Act Compliance,STAFF_08,3.44,22,1,4,0,2025-12-25,27.0,Completed,None
T0427,EU AI Act Compliance,STAFF_18,4.75,71,5,3,0,2025-10-29,57.0,In Progress,None
T0428,EU AI Act Compliance,STAFF_12,0.77,10,1,5,0,2025-12-08,27.0,Blocked,T0095
T0429,AI Ethics Framework,STAFF_14,3.7,76,1,4,0,2025-11-16,43.0,Completed,T0254
T0430,EU AI Act Compliance,STAFF_02,3.2,30,1,1,0,2026-01-02,34.0,To Do,T0172
T0431,AI Ethics Framework,STAFF_18,2.96,60,1,4,0,2026-02-21,79.0,In Progress,T1111
T0432,EU AI Act Compliance,STAFF_02,2.01,44,1,3,1,2026-03-25,39.0,Completed,T0985
T0433,Comms Strategy 2026,STAFF_11,1.84,16,3,2,0,2025-12-24,8.0,Completed,T0584
T0434,Comms Strategy 2026,STAFF_09,0.32,22,1,2,1,2025-11-08,24.0,To Do,T0094
T0435,Comms Strategy 2026,STAFF_12,1.17,10,1,2,0,2026-01-08,16.0,Completed,T1040
T0436,AI Ethics Framework,STAFF_17,0.17,77,3,1,0,2025-11-02,62.4,Completed,T0927
T0437,Comms Strategy 2026,STAFF_15,2.95,24,1,3,0,2026-01-09,73.0,Completed,T0184
T0438,EU AI Act Compliance,STAFF_17,0.62,33,1,5,0,2025-10-23,39.0,Completed,None
T0439,EU AI Act Compliance,STAFF_18,4.38,28,1,2,0,2025-10-10,52.0,Completed,T0324
T0440,New Hire Recruitment,STAFF_06,2.66,79,5,3,0,2025-12-08,16.0,To Do,T1209
T0441,AI Ethics Framework,STAFF_17,3.53,28,1,4,0,2026-01-08,37.0,Blocked,None
T0442,Comms Strategy 2026,STAFF_18,2.11,18,1,1,0,2025-11-03,45.0,Completed,T0942
T0443,Comms Strategy 2026,STAFF_08,2.85,45,1,3,0,2026-03-29,67.0,Completed,T0402
T0444,EU AI Act Compliance,STAFF_09,4.72,79,1,3,0,2026-02-15,7.2,In Progress,T0503
T0445,AI Ethics Framework,STAFF_06,0.51,42,1,5,1,2026-02-24,12.0,Completed,None
T0446,AI Ethics Framework,STAFF_05,1.34,21,1,3,0,2026-01-04,70.0,Blocked,T0485
T0447,New Hire Recruitment,STAFF_12,3.92,21,1,5,0,2025-10-01,43.0,Blocked,T1213
T0448,EU AI Act Compliance,STAFF_11,0.58,17,5,1,0,2025-12-08,72.0,Blocked,None
T0449,EU AI Act Compliance,STAFF_01,0.47,19,1,1,0,2025-10-04,31.0,Completed,None
T0450,EU AI Act Compliance,STAFF_11,1.87,45,1,4,0,2025-10-16,11.0,Completed,T0867
T0451,Comms Strategy 2026,STAFF_19,0.55,41,1,5,0,2025-10-24,75.0,Completed,None
T0452,AI Ethics Framework,STAFF_09,2.97,48,1,5,0,2025-12-19,32.0,Completed,None
T0453,EU AI Act Compliance,STAFF_02,1.21,17,3,2,0,2025-10-02,14.0,Completed,T0609
T0454,Comms Strategy 2026,STAFF_12,4.49,24,1,2,0,2026-02-05,20.0,To Do,T0411
T0455,New Hire Recruitment,STAFF_04,3.94,24,1,4,0,2026-03-09,75.0,Blocked,T0186
T0456,AI Ethics Framework,STAFF_04,3.53,74,3,1,1,2025-12-23,50.0,To Do,T0229
T0457,EU AI Act Compliance,STAFF_18,3.12,69,1,2,0,2026-03-01,64.0,Blocked,None
T0458,EU AI Act Compliance,STAFF_15,4.33,8,1,3,1,2026-02-17,43.0,Completed,T0957
T0459,Comms Strategy 2026,STAFF_19,1.19,19,1,1,0,2026-03-27,21.0,In Progress,None
T0460,EU AI Act Compliance,STAFF_13,4.38,11,1,3,0,2026-03-12,79.0,Completed,T1283
T0461,EU AI Act Compliance,STAFF_19,3.97,49,1,5,1,2026-02-01,34.0,Completed,T1095
T0462,Annual Retreat Planning,STAFF_17,3.77,20,1,1,1,2025-11-02,44.0,In Progress,T0991
T0463,Annual Retreat Planning,STAFF_06,2.85,11,1,4,0,2026-03-10,78.0,In Progress,T0079
T0464,EU AI Act Compliance,STAFF_16,1.31,76,3,5,0,2026-03-28,32.0,In Progress,None
T0465,New Hire Recruitment,STAFF_12,2.18,26,1,5,0,2026-03-20,74.0,Completed,T0679
T0466,Comms Strategy 2026,STAFF_19,3.99,9,1,3,0,2026-01-09,11.0,Completed,T0910
T0467,EU AI Act Compliance,STAFF_05,0.26,19,1,5,0,2025-10-12,23.0,Completed,T0036
T0468,AI Ethics Framework,STAFF_17,3.93,13,1,2,0,2025-12-06,26.0,Completed,None
T0469,New Hire Recruitment,STAFF_01,1.28,15,1,1,1,2025-12-04,36.0,Completed,None
T0470,AI Ethics Framework,STAFF_10,0.81,58,5,2,0,2026-03-10,58.0,In Progress,T0883
T0471,AI Ethics Framework,STAFF_15,0.67,18,3,3,0,2026-03-17,25.0,Blocked,T0939
T0472,AI Ethics Framework,STAFF_11,0.23,70,5,3,0,2025-12-13,65.0,Completed,T1146
T0473,Comms Strategy 2026,STAFF_13,2.67,64,3,1,0,2025-11-12,51.0,In Progress,T0431
T0474,AI Ethics Framework,STAFF_05,1.17,19,1,5,0,2025-11-13,23.0,Completed,T0361
T0475,AI Ethics Framework,STAFF_01,4.95,9,1,4,0,2025-10-29,64.8,To Do,T1096
T0476,AI Ethics Framework,STAFF_12,2.91,15,1,3,0,2026-02-18,9.0,Completed,T0170
T0477,AI Ethics Framework,STAFF_11,0.78,18,1,1,1,2025-10-12,63.0,Blocked,T0738
T0478,Comms Strategy 2026,STAFF_17,3.47,60,5,4,0,2026-01-03,35.0,To Do,T0801
T0479,Comms Strategy 2026,STAFF_04,4.5,17,1,5,0,2025-11-15,86.39999999999999,Blocked,T0620
T0480,EU AI Act Compliance,STAFF_15,3.75,15,3,3,0,2026-02-07,12.0,Completed,T0302
T0481,EU AI Act Compliance,STAFF_09,0.47,43,1,1,1,2025-11-04,29.0,In Progress,T0578
T0482,Comms Strategy 2026,STAFF_19,4.49,21,3,1,0,2025-12-20,20.0,Completed,T0549
T0483,AI Ethics Framework,STAFF_19,3.99,61,5,1,0,2025-12-29,72.0,Completed,T0812
T0484,EU AI Act Compliance,STAFF_12,0.88,28,3,3,0,2025-10-08,23.0,Completed,T1097
T0485,New Hire Recruitment,STAFF_05,0.35,57,3,4,0,2026-01-01,71.0,To Do,None
T0486,Comms Strategy 2026,STAFF_10,2.83,46,1,1,0,2026-03-03,39.0,To Do,T0235
T0487,AI Ethics Framework,STAFF_17,0.86,27,3,5,0,2025-12-29,58.0,Completed,None
T0488,EU AI Act Compliance,STAFF_05,4.19,14,5,1,1,2026-03-11,65.0,In Progress,T0462
T0489,EU AI Act Compliance,STAFF_16,1.86,16,3,4,0,2026-01-23,53.0,To Do,T0961
T0490,EU AI Act Compliance,STAFF_07,4.57,8,3,3,0,2026-01-13,59.0,Completed,T0889
T0491,AI Ethics Framework,STAFF_09,2.87,33,3,1,0,2026-02-12,70.0,Completed,T0906
T0492,AI Ethics Framework,STAFF_03,1.0,45,3,1,0,2025-11-27,67.0,Completed,T1176
T0493,AI Ethics Framework,STAFF_15,0.78,45,1,5,0,2026-01-22,72.0,In Progress,T0621
T0494,New Hire Recruitment,STAFF_16,2.92,68,3,5,0,2025-12-14,62.0,Completed,T0519
T0495,Annual Retreat Planning,STAFF_18,3.83,51,1,1,0,2026-03-06,64.0,In Progress,None
T0496,AI Ethics Framework,STAFF_14,3.93,51,1,1,0,2026-01-28,78.0,Completed,T0358
T0497,AI Ethics Framework,STAFF_03,1.45,69,1,5,1,2026-03-13,33.0,Completed,T0293
T0498,Annual Retreat Planning,STAFF_12,1.1,13,1,4,0,2025-10-21,19.0,Completed,T0026
T0499,AI Ethics Framework,STAFF_09,0.18,24,1,2,0,2026-03-13,78.0,Completed,T0343
T0500,AI Ethics Framework,STAFF_07,3.43,58,1,2,0,2026-02-15,53.0,Completed,T0843
T0501,New Hire Recruitment,STAFF_09,0.48,45,1,1,0,2026-01-09,54.0,Completed,T0876
T0502,AI Ethics Framework,STAFF_13,2.16,31,1,5,0,2026-03-01,45.0,Blocked,T0414
T0503,Comms Strategy 2026,STAFF_18,3.05,58,1,3,0,2026-03-26,28.0,Completed,T0118
T0504,New Hire Recruitment,STAFF_05,4.69,17,3,3,1,2026-01-07,21.0,In Progress,T1211
T0505,EU AI Act Compliance,STAFF_13,1.63,79,5,2,0,2025-11-05,9.0,To Do,T1232
T0506,AI Ethics Framework,STAFF_04,1.32,28,3,4,1,2026-01-04,79.0,Blocked,None
T0507,AI Ethics Framework,STAFF_02,3.31,77,5,2,1,2026-03-01,69.3,To Do,None
T0508,New Hire Recruitment,STAFF_16,3.13,64,3,1,0,2026-02-28,36.0,In Progress,None
T0509,New Hire Recruitment,STAFF_09,1.73,46,1,4,0,2025-11-06,13.0,Completed,T1298
T0510,Annual Retreat Planning,STAFF_09,4.65,40,3,3,1,2025-10-12,44.0,To Do,T1001
T0511,AI Ethics Framework,STAFF_06,4.24,66,3,5,1,2026-01-21,21.0,Blocked,T0209
T0512,Annual Retreat Planning,STAFF_11,1.2,25,1,5,0,2025-10-13,44.0,Blocked,T1012
T0513,New Hire Recruitment,STAFF_01,1.27,63,1,1,0,2025-10-23,15.0,In Progress,T0091
T0514,Comms Strategy 2026,STAFF_04,2.61,64,3,2,0,2026-01-07,20.0,In Progress,None
T0515,New Hire Recruitment,STAFF_13,3.89,55,1,1,1,2026-01-13,47.0,Completed,T0783
T0516,New Hire Recruitment,STAFF_13,0.32,49,3,5,0,2025-10-30,65.0,In Progress,T1134
T0517,Comms Strategy 2026,STAFF_13,3.5,34,1,3,0,2025-10-17,25.0,Completed,T0085
T0518,Comms Strategy 2026,STAFF_02,3.28,59,1,5,0,2026-01-21,64.0,Completed,T0869
T0519,EU AI Act Compliance,STAFF_09,1.23,49,1,4,0,2025-12-01,45.0,In Progress,T0490
T0520,AI Ethics Framework,STAFF_08,3.44,39,1,5,0,2025-12-23,39.0,Completed,T0464
T0521,Comms Strategy 2026,STAFF_07,4.71,33,1,5,0,2026-01-20,73.0,Completed,T0634
T0522,EU AI Act Compliance,STAFF_04,0.33,32,3,4,1,2025-12-25,32.0,Blocked,T0002
T0523,New Hire Recruitment,STAFF_18,1.67,30,3,2,0,2026-02-18,65.0,Blocked,T0759
T0524,New Hire Recruitment,STAFF_03,2.25,64,3,5,0,2025-10-19,40.0,In Progress,T0791
